id,sort_name,name,CreatorURL,gender,biography,date,CreatorArt
19123,"Afandi, Muhammad Hilmi",Muhammad Hilmi Afandi,https://art.thewalters.org/browse/creator/muhammad-hilmi-afandi,,,,82797|82796|22426
2722,Affecter,The Affecter,https://art.thewalters.org/browse/creator/the-affecter,,," (Greek, active ca. 540-520 BC)",28180
16725,Afghani,Afghani,https://art.thewalters.org/browse/creator/afghani,,,,1417|18469
15527,African,African,https://art.thewalters.org/browse/creator/african,,,,76569|3728|38427|28930|79950|79951|79952|79953|79954|81125|81124|81123|80024|82687|82688|82689|82690|99813|103468
19330,"Afshar, Mirza Rahim navadah-i Mirza Amin",Mirza Rahim navadah-i Mirza Amin Afshar,https://art.thewalters.org/browse/creator/mirza-rahim-navadah-i-mirza-amin-afshar,,,,23448
15227,"Agha, Hasan",Hasan Agha,https://art.thewalters.org/browse/creator/hasan-agha,,,,28971
34640,"Agnesius, Jacobus",Jacobus Agnesius,https://art.thewalters.org/browse/creator/jacobus-agnesius,,," (Italian or South German, active 2nd quarter 17th century)",30023
36493,"Aguatti, Antonio",Antonio Aguatti,https://art.thewalters.org/browse/creator/antonio-aguatti,,," (Italian, 1810 - 1820 (active))",9616
35141,Ahmad Khan,Ahmad Khan,https://art.thewalters.org/browse/creator/ahmad-khan,,, (19th century),22655
17757,Ahmedi,Ahmedi,https://art.thewalters.org/browse/creator/ahmedi,,, (1334 (?)-815 AH/AD 1413),7994|80987|80988
5555,Aimitsu,Aimitsu,https://art.thewalters.org/browse/creator/aimitsu,male,, (Japanese),39409|9069
14860,Aito,Aito,https://art.thewalters.org/browse/creator/aito,,,,18653
6101,Akihiro,Akihiro,https://art.thewalters.org/browse/creator/akihiro2,male,," (Japanese, active ca. 1846)",13578
5003,Akihiro,Akihiro,https://art.thewalters.org/browse/creator/akihiro,male,, (Japanese),3686
7131,Akimitsu,Akimitsu,https://art.thewalters.org/browse/creator/akimitsu,male,," (Japanese, Japanese)",9002
14861,Akiyama Buemon,Akiyama Buemon,https://art.thewalters.org/browse/creator/akiyama-buemon,,,,13997|79683|79684|79685
14862,Akiyama Takaemon,Akiyama Takaemon,https://art.thewalters.org/browse/creator/akiyama-takaemon,,,,30607
4600,Akkadian,Akkadian,https://art.thewalters.org/browse/creator/akkadian,,,,32198|20721|1899|4594|14148|19203|20920|36716|20737|23206|26118|14117|6914|33598|39305|11731|21794|26270|19084|2915|23069|33263|5055|8235
33738,Alavoine & Co.,Alavoine & Co.,https://art.thewalters.org/browse/creator/alavoine--co,,, (1890 - 1965),36417
4483,"Albani, Francesco",Francesco Albani,https://art.thewalters.org/browse/creator/francesco-albani,male,," (Italian, 1578-1660)",26451
2433,"Alciati, Andrea",Andrea Alciati,https://art.thewalters.org/browse/creator/andrea-alciati,male,," (Italian, 1492-1550)",39963|37920|39963
2410,"Alessandro, Lorenzo d' da San Severino",Lorenzo d'Alessandro da San Severino,https://art.thewalters.org/browse/creator/lorenzo-dalessandro-da-san-severino,male,," (Italian, 1440/1450-1503)",40438
31590,"Alexeev, Nikolai Vasilevich",Nikolai Vasilevich Alexeev,https://art.thewalters.org/browse/creator/nikolai-vasilevich-alexeev,,,,82404|82405|82406|82407|82339|82337|82499
4633,"Alfieri, Gian Pietro",Gian Pietro Alfieri,https://art.thewalters.org/browse/creator/gian-pietro-alfieri,male,, (Italian),26006
5443,"Algardi, Alessandro",Alessandro Algardi,https://art.thewalters.org/browse/creator/alessandro-algardi,male,," (Italian, 1598-1654)",36958
16160,Algerian,Algerian,https://art.thewalters.org/browse/creator/algerian,,,,29702
2975,"Alighieri, Dante",Dante Alighieri,https://art.thewalters.org/browse/creator/dante-alighieri,,," (Italian, 1265-1321)",85333|85335
15490,"Aliverti, Costopolino",Costopolino Aliverti,https://art.thewalters.org/browse/creator/costopolino-aliverti,,," (Italian, died 1582)",26006
1988,Alkamenes,Alkamenes,https://art.thewalters.org/browse/creator/alkamenes,,," (Greek, active ca. 440 BC-400 BC)",791
3950,"Allston, Washington",Washington Allston,https://art.thewalters.org/browse/creator/washington-allston,male,," (American, 1779-1843)",28721
4782,"Alma-Tadema, Lawrence R.A., O.M. Sir","Sir Lawrence Alma-Tadema, R.A., O.M.",https://art.thewalters.org/browse/creator/sir-lawrence-alma-tadema-ra-om,male,," (Anglo-Dutch, 1836-1912)",637|10245|22674|11173|37232|27156|30960|33516|22339
8257,Alphonsus de Benevento,Alphonsus de Benevento,https://art.thewalters.org/browse/creator/alphonsus-de-benevento,,,,16033
1938,"Alt, Jakob",Jakob Alt,https://art.thewalters.org/browse/creator/jakob-alt,male,," (German, 1789-1872)",34994|26420
2950,"Alt, Rudolf von",Rudolf von Alt,https://art.thewalters.org/browse/creator/rudolf-von-alt,male,," (Austrian, 1812-1905)",3418|40171
8744,Ambrosius,Ambrosius,https://art.thewalters.org/browse/creator/ambrosius,,,,5505
6184,American,American,https://art.thewalters.org/browse/creator/american,,,,23301|26902|34892|11079|4221|20727|31827|35791|37449|10056|37811|25222|2016|36318|12310|3187|22561|3932|29166|33784|28642|19600|21105|8306|23082|27733|3475|23248|31464|4363|24594|38871|21103|35105|2260|18632|6918|8030|23046|3445|14331|6171|39420|28813|30895|18255|15322|11633|26005|11915|90202|37063|11717|91919|91920|91921|91922|91923|91924|91925|91926|91927|91928|91929|91930|91931|91932|91933|91934|91935|91936|91937|91938|91939|91940|91941|91942|91943|91944|91945|91946|25162|92343|33060|19386|15243|2710|20555
32773,American Art-Union,American Art-Union,https://art.thewalters.org/browse/creator/american-art-union,,,,9008|23626
14864,Amigima Kamekichi,Amigima Kamekichi,https://art.thewalters.org/browse/creator/amigima-kamekichi,,,,5822
14865,Amishima Kamekichi,Amishima Kamekichi,https://art.thewalters.org/browse/creator/amishima-kamekichi,,,,4379
8027,"Amman, Jost",Jost Amman,https://art.thewalters.org/browse/creator/jost-amman,,," (Swiss, 1539-1591)",33171|33171
4042,"Ammanati, Bartolommeo",Bartolommeo Ammanati,https://art.thewalters.org/browse/creator/bartolommeo-ammanati,male,," (Italian, 1511-1592)",79132
5736,"Anabat, Guillaume",Guillaume Anabat,https://art.thewalters.org/browse/creator/guillaume-anabat,,, (French),25539
3502,"Anastasi, Auguste Paul Charles",Auguste Paul Charles Anastasi,https://art.thewalters.org/browse/creator/auguste-paul-charles-anastasi,male,," (French, 1820-1889)",13379
2190,Anatolian,Anatolian,https://art.thewalters.org/browse/creator/anatolian,,,,5409|6502|7674|12499|12460|27794|36607|13989|909|8958|31744|28842
32167,"Ancelin, Thibaud",Thibaud Ancelin,https://art.thewalters.org/browse/creator/thibaud-ancelin,,, (fl. 1579 - 1608),85346
34401,Andean,Andean,https://art.thewalters.org/browse/creator/andean,,,,85466
15642,Ando Cloisonné Company,Ando Cloisonné Company,https://art.thewalters.org/browse/creator/ando-cloisonnc-company,,,,76615|101702
8056,"Andreae, Johannes",Johannes Andreae,https://art.thewalters.org/browse/creator/johannes-andreae,,," (Italian, 1270-1348)",40203
31675,"Andreev, Grigori Arsenev",Grigori Arsenev Andreev,https://art.thewalters.org/browse/creator/grigori-arsenev-andreev,,," (Russian, active 1885-1898)",82512
6355,"Andreoli, Giorgio",Giorgio Andreoli,https://art.thewalters.org/browse/creator/giorgio-andreoli,male,," (Italian, ca. 1465/1470-1555)",2687|113|10726|27192|39463|14127|31083|33528|14270
5470,"Andrieu, Bertrand",Bertrand Andrieu,https://art.thewalters.org/browse/creator/bertrand-andrieu,male,," (French, 1761-1822)",13348
1487,"André, Alfred",Alfred André,https://art.thewalters.org/browse/creator/alfred-andrc,,," (French, 1839-1919)",31890
1924,"André, John",John André,https://art.thewalters.org/browse/creator/john-andrc,male,," (English, 1751-1780)",9648
15255,"André, Jules",Jules André,https://art.thewalters.org/browse/creator/jules-andrc,male,," (French, 1807-1869)",9866
4119,"Anesi, Paolo",Paolo Anesi,https://art.thewalters.org/browse/creator/paolo-anesi,male,," (Italian, 1697-1773)",35793
2562,"Anfosso, Giacomo",Giacomo Anfosso,https://art.thewalters.org/browse/creator/giacomo-anfosso,male,," (Italian, 1505-1585)",7901
7969,"Angelus, Johannes",Johannes Angelus,https://art.thewalters.org/browse/creator/johannes-angelus,,,,6572
4989,"Angers, Pierre-Jean David d'",Pierre-Jean David d'Angers,https://art.thewalters.org/browse/creator/pierre-jean-david-dangers,male,," (French, 1788-1856)",39648|14615|14885|10345|10862|9891|6023|26382|10838|7667|33637|18760|29943|38383|28438|830|37062|27914|6164|7744|38182|7530|27887|15945|21343|4896|9182|15151|17927|31691|39667|23101|35197|35800|13196|8987|12132|7356|31716|32633|1279|27607|33957|19774|4672|7082|76817
4523,"Anglicus, Bartholomaeus",Bartholomaeus Anglicus,https://art.thewalters.org/browse/creator/bartholomaeus-anglicus,male,," (English, born ca. 1203, died 1272)",1272|24509
3865,Anglo-Saxon,Anglo-Saxon,https://art.thewalters.org/browse/creator/anglo-saxon,,,,8182|39867
2334,"Anguier, Michel",Michel Anguier,https://art.thewalters.org/browse/creator/michel-anguier,male,," (French, 1612-1686)",4563
4003,"Anguilla, Francesco Andrea di",Francesco Andrea di Anguilla,https://art.thewalters.org/browse/creator/francesco-andrea-di-anguilla,male,," (Italian, active 1410-1434)",15000
5485,"Anguissola, Sofonisba",Sofonisba Anguissola,https://art.thewalters.org/browse/creator/sofonisba-anguissola,female,," (Italian, ca. 1532-1625)",1377
17248,Anonymous,Anonymous,https://art.thewalters.org/browse/creator/anonymous,,,,80120|80121|80131|81405|81415|81464|12824|39057|1397|10856|694|81411|79949|79955|80122|80124|80127|81184|83063|83100|83216|83407|83418|83460|83461|83489|83508|83516|83555|83591|83660|83667|81991|83777|83824|83860|83922|81694|79632|84362|84961|19206
16490,"Anselm, Thomas",Thomas Anselm,https://art.thewalters.org/browse/creator/thomas-anselm,,," (German, active ca. 1500)",79127
3969,"Anthony, George Wilfrid",George Wilfrid Anthony,https://art.thewalters.org/browse/creator/george-wilfrid-anthony,male,," (English, 1810-1859)",39215
3180,Antico,Antico (Pier Jacopo Alari Bonacolsi),https://art.thewalters.org/browse/creator/antico,male,," (Italian, ca. 1460-1528)",30236|30796|21993|30796
1929,"Antonilez, Jose",Jose Antonilez,https://art.thewalters.org/browse/creator/jose-antonilez,male,," (Spanish, 1635-1675)",31898
5880,"Aoki, Harutsura",Aoki Harutsura,https://art.thewalters.org/browse/creator/aoki-harutsura,male,," (Japanese, 1805-1858)",2072
15418,Apollonios of Athens,Apollonios of Athens,https://art.thewalters.org/browse/creator/apollonios-of-athens,male,," (Greek, 1st century BC)",11475
15537,Appert Frères,Appert Frères,https://art.thewalters.org/browse/creator/appert-frrres,,," (French, active ca. 19th century)",1292|6204|32185|28822|2065|77394
2072,"Appiani, Andrea the elder",Andrea Appiani the elder,https://art.thewalters.org/browse/creator/andrea-appiani-the-elder,male,," (Italian, 1754-1817)",11662
15919,Apulian,Apulian,https://art.thewalters.org/browse/creator/apulian,,,,21826|23463|3698|16946
8589,Apulianizing Painter,Apulianizing Painter,https://art.thewalters.org/browse/creator/apulianizing-painter,,," (Greek, active ca. 330-320 BC)",14868
2710,"Arai, Hideyuki",Arai Hideyuki,https://art.thewalters.org/browse/creator/arai-hideyuki,male,," (Japanese, active 19th century)",22575|15578
33757,"Araki, Minol",Minol Araki,https://art.thewalters.org/browse/creator/minol-araki,,," (Japanese, 1928 - 2010)",93391
4359,"Araki, Tômei",Araki Tômei,https://art.thewalters.org/browse/creator/araki-tmei,male,," (Japanese, 1817-1870)",38659
5934,"Aranda, José Jiménez",José Jiménez Aranda,https://art.thewalters.org/browse/creator/josc-jimcnez-aranda,male,," (Spanish, 1837-1903)",16631
33506,"Archbishop of Caesarea, Andrew","Andrew, Archbishop of Caesarea",https://art.thewalters.org/browse/creator/andrew-archbishop-of-caesarea,,,,2127
3414,"Ardin, Joseph F.",Joseph F. Ardin,https://art.thewalters.org/browse/creator/joseph-f-ardin,,,,37909
31455,Arenal,Arenal,https://art.thewalters.org/browse/creator/arenal,,,,80213
5683,"Arentsz., Arent",Arent Arentsz.,https://art.thewalters.org/browse/creator/arent-arentsz,male,," (Dutch, ca. 1585-1635)",12712
3961,"Aretino, Leonardo",Leonardo Aretino,https://art.thewalters.org/browse/creator/leonardo-aretino,male,," (Italian, 1369-1444)",24312|39714
6169,"Arikawa, Sanemasa",Arikawa Sanemasa,https://art.thewalters.org/browse/creator/arikawa-sanemasa,male,," (Japanese, active ca. 1800)",23871
8636,Aristakes,Aristakes,https://art.thewalters.org/browse/creator/aristakes,,,,3294|5764
7789,Aristeas,Aristeas,https://art.thewalters.org/browse/creator/aristeas,,,,39736
2602,Aristotle,Aristotle,https://art.thewalters.org/browse/creator/aristotle,,,,33885|39584|79990|33834
14866,Aritaya Kioemon,Aritaya Kioemon,https://art.thewalters.org/browse/creator/aritaya-kioemon,,,,5327
14867,Aritaya Kiyoemon,Aritaya Kiyoemon,https://art.thewalters.org/browse/creator/aritaya-kiyoemon,,,,17763|31290|4815
3167,"Arlaud, Antoine",Antoine Arlaud,https://art.thewalters.org/browse/creator/antoine-arlaud,,," (French, active ca. 1580-1610)",20029
15117,"Armand, Louis-Denis",Louis-Denis Armand,https://art.thewalters.org/browse/creator/louis-denis-armand,,," (French, active 1745 - 1788)",35469|28712|11614
6536,"Armand-Dumaresq, Charles Edouard",Charles Edouard Armand-Dumaresq,https://art.thewalters.org/browse/creator/charles-edouard-armand-dumaresq,male,," (French, 1826-1895)",26177|3910|29044|33745
6300,Armenian,Armenian,https://art.thewalters.org/browse/creator/armenian,,,,34224|6994|2494|3294|1385|21665|9001|6911|16858|9442|16064|14097|30894|24287|3738|34409|13878|17163|36802|25799|10843|35241|5764|36490|39205|38587|81502|85658|91253|33658|36202|19172|19700|24144|11480|8063|29919|91135
31722,"Arnal, Albert",Albert Arnal,https://art.thewalters.org/browse/creator/albert-arnal,,,,88124
20458,"Arnold, Matthew",Matthew Arnold,https://art.thewalters.org/browse/creator/matthew-arnold,,," (British, 1822 - 1888)",85154
5232,"Asahi, Meido",Asahi Meido,https://art.thewalters.org/browse/creator/asahi-meido,male,," (Japanese, 1843-1923)",40096
14868,Asano Eizo,Asano Eizo,https://art.thewalters.org/browse/creator/asano-eizo,,,,39753
34649,"Asano, Takeji",Asano Takeji,https://art.thewalters.org/browse/creator/asano-takeji,,," (Japanese, 1900 - 1998)",99850|99852
19393,"Asghar, Muhammad",Muhammad Asghar,https://art.thewalters.org/browse/creator/muhammad-asghar,,,,19840|90954|90955
33148,"Ashbee, Henry Spencer",Henry Spencer Ashbee,https://art.thewalters.org/browse/creator/henry-spencer-ashbee,,, (1834 - 1900),88124
5692,Ashiyuki,Ashiyuki,https://art.thewalters.org/browse/creator/ashiyuki,male,," (Japanese, active ca. 1814-1833)",868|28912
7095,Asian,Asian,https://art.thewalters.org/browse/creator/asian,,,,24934
6793,"Askew, Richard",Richard Askew,https://art.thewalters.org/browse/creator/richard-askew,male,," (English, active ca. 1772-1795)",38958|17447|6974|9011
5540,"Aspertini, Amico",Amico Aspertini,https://art.thewalters.org/browse/creator/amico-aspertini,male,," (Italian, 1474/1475-1552)",5729
8016,"Assar Tabrizi, Muhammad ibn Ahmad `Assar",Muhammad ibn Ahmad `Assar Tabrizi,https://art.thewalters.org/browse/creator/muhammad-ibn-ahmad-assar-tabrizi,,, (died 1382),15748|26531|36567|40539|18128|17170|29694|13530|39313|11340|80049|80050|17584|81852|81853|83668|26887|83819|83820|83821|83822|83823|85654|85655
2071,Assyrian,Assyrian,https://art.thewalters.org/browse/creator/assyrian,,,,37080|10727|27794|39494|31126|22080|5049|25004|23394|30175|23681|6945|2832|17171|33570|8958|26225|260
4507,"Astesanus, Antonio",Antonio Astesanus,https://art.thewalters.org/browse/creator/antonio-astesanus,,,,3612
7510,Atai,Atai,https://art.thewalters.org/browse/creator/atai,,," (Uzbeki, died 1044 AH/AD 1634)",38025|80577|80578|77616|9327|84827|84828|84829|84830|84831|84832|84833|84834|84835|84836|84837|84838|84839|84840|84841|84842|84843|84844|84845|84846|84847|84848|84849|84850|84851|84852|84853|84854|84855|84856|84857|84858|84859|84860|84861|84862|84863|84864|84865|84866|84867|90219
16763,Atelier at Reims,Atelier at Reims,https://art.thewalters.org/browse/creator/atelier-at-reims,,, (French),4860
6476,Atelier of the Boxes,Atelier of the Boxes,https://art.thewalters.org/browse/creator/atelier-of-the-boxes,,," (French, ca. 1340-ca. 1360)",30473|9704|32234|6180|22567
7410,"Attavanti, Attavante",Attavante Attavanti,https://art.thewalters.org/browse/creator/attavante-attavanti,,," (Italian, 1452-before 1525)",8816|33228|12586|15376
5235,"Audubon, John James",John James Audubon,https://art.thewalters.org/browse/creator/john-james-audubon,male,," (American, 1785-1851)",2235|3570
4556,"Augsburg, Hans Stromai of",Hans Stromai of Augsburg,https://art.thewalters.org/browse/creator/hans-stromai-of-augsburg,,,,13928
2984,"Augustin, Jean Baptiste Jacques",Jean Baptiste Jacques Augustin,https://art.thewalters.org/browse/creator/jean-baptiste-jacques-augustin,male,," (French, 1759-1832)",35921|39664|24197|16975|884|21656|35449
3686,"Augustine, Saint Bishop of Hippo","Saint Augustine, Bishop of Hippo",https://art.thewalters.org/browse/creator/saint-augustine-bishop-of-hippo,,," (Algerian, 354-430)",40090|27819|22818|17609|20993
6521,Austrian,Austrian,https://art.thewalters.org/browse/creator/austrian,,,,8081|2639|20952|32832|2907|27099|9406|20805|13278|22276|323|9467|12209|21721|35697|19922|35662|12889|26050|1021|2689|33326|25791|3179|6919|15426|13615|28497|26962|22463|36943|16026|27118|21228|37519|35179|18228|10732|77417|39033|11408|88685|88686|88687|88691|90315|90316|90339|90562|90578
5388,"Autun, Honorius of",Honorius of Autun,https://art.thewalters.org/browse/creator/honorius-of-autun,male,, (ca. 1080-ca. 1156),18978|15426|13615|28497|26962|22463|36943|90315|90316|90339
5986,Avaric,Avaric,https://art.thewalters.org/browse/creator/avaric,,,,4523
1936,"Averlino, Antonio","Antonio Averlino, called Filarete",https://art.thewalters.org/browse/creator/antonio-averlino-called-filarete,male,," (Italian, ca. 1400-ca. 1469)",15695
8724,Averroës,Averroës,https://art.thewalters.org/browse/creator/averros,,,,16027
1340,"Avery, Samuel P.",Samuel P. Avery,https://art.thewalters.org/browse/creator/samuel-p-avery,,," (American, 1822 - 1904)",92334|92335
2326,"Avienus, Rufius Festus",Rufius Festus Avienus,https://art.thewalters.org/browse/creator/rufius-festus-avienus,,,,34377
3498,"Avont, Peeter van",Peeter van Avont,https://art.thewalters.org/browse/creator/peeter-van-avont,male,," (Flemish, 1600-1652)",18119
14869,Awabun,Awabun,https://art.thewalters.org/browse/creator/awabun,,,,17597|32298|4105
32082,Awet,Awet,https://art.thewalters.org/browse/creator/awet,,,,20475
2675,"Ayabe, Masayuki",Ayabe Masayuki,https://art.thewalters.org/browse/creator/ayabe-masayuki,male,," (Japanese, active 3rd quarter 19th century)",17740
4050,"Azari, Fakhr al-Din Hamzah ibn 'Ali Sheikh",Fakhr al-Din Hamzah ibn 'Ali Azari,https://art.thewalters.org/browse/creator/fakhr-al-din-hamzah-ibn-ali-azari,,, (died 866 AH/AD 1461-1462),18970|29327
7603,Aztec,Aztec,https://art.thewalters.org/browse/creator/aztec,,,,7450|21427|80156|80276|80354|80356|80404
14870,"Azumaya Daisuke, Kinshudo","Azumaya Daisuke, Kinshudo",https://art.thewalters.org/browse/creator/azumaya-daisuke-kinshudo,,,,80560|80561
36495,B. Bloch,B. Bloch,https://art.thewalters.org/browse/creator/b-bloch,,," (Austrian, 1871 - ca. 1940)",103185|103197
33560,"B., C. M.",C. M. B.,https://art.thewalters.org/browse/creator/c-m-b,,, (American),4846|26721|33038|8324
19311,"Baba Jan, Muhammad Amin ibn",Muhammad Amin ibn Baba Jan,https://art.thewalters.org/browse/creator/muhammad-amin-ibn-baba-jan,,,,83872|4449
7547,"Babur, Zahir al-Din Muhammad",Zahir al-Din Muhammad Babur,https://art.thewalters.org/browse/creator/zahir-al-din-muhammad-babur,,, (1483-1530),9601|19396|21671|408|31668|25120|9859|11261|29287|24290|14445|9544|13487|19845|33869|39113|24727|19311|4904|39070|4748|20714|25561|30227|36265|5758|5476|22697|27423|6343|1759|90216|91088|94063|94064
7023,Babylonian,Babylonian,https://art.thewalters.org/browse/creator/babylonian,,,,36683|3389|586|34666|39592|30865|23851|32669|33218|13898|38817|38692|17132|27530|20627|27877|27144|17611|12069|8745|29172|23394|29231|38943|37903|16065|24024|498|39945|23862|27004|23210|19557|12666|38493|20919|1986|1845|36904|3018|6274|27892|1208|28322|13101|25863|34450|9645|4913|6256|12556|17171|4321|13870|3061|37732|20564|3819|15099|36151|29590|5290|30304|7325|31326|16201|22377|27863|9040|3693|34921|16794|40225|38140|28388|15245|35917|22208|35671|7695|25283|13058|38130
32225,Baccarat,Baccarat,https://art.thewalters.org/browse/creator/baccarat,,,,14210
15563,"Bachelier, Jean Jacques",Jean Jacques Bachelier,https://art.thewalters.org/browse/creator/jean-jacques-bachelier,male,," (French, 1724-1806)",27523|34223
6852,"Backhuysen, Ludolf I",Ludolf Backhuysen I,https://art.thewalters.org/browse/creator/ludolf-backhuysen-i,male,," (Dutch, 1630-1708)",37794
5350,"Badile II, Antonio",Antonio Badile II,https://art.thewalters.org/browse/creator/master-of-the-cespo-di-garofano,,," (Italian, ca. 1424 - 1507/12)",478
3651,"Baer, William Jacob",William Jacob Baer,https://art.thewalters.org/browse/creator/william-jacob-baer,male,"William Jacob Baer was a leading exponent of the idealized image in America at the end of the 19th century. A native of Cincinnati, Ohio, he had studied at the Royal Academy in Munich, Germany, where in 1880 he was awarded four medals. Returning to America, he settled in Montclair, New Jersey, then a popular gathering place for artists. Until 1892, Baer specialized in portraits and scenes of daily life; for the remainder of his career, he devoted himself to miniatures. In New York (1897), Paris (1900), Buffalo (1901), and San Francisco (1915), he won prizes for his portraits and idealized subjects."," (American, 1860-1941)",26111|9246|19112|34178|24164|10264|11806
3436,"Baigai, Totoki",Totoki Baigai,https://art.thewalters.org/browse/creator/totoki-baigai,male,," (Japanese, 1749-1804)",14507
2537,"Baiitsu, Yamamoto",Yamamoto Baiitsu,https://art.thewalters.org/browse/creator/yamamoto-baiitsu,,," (Japanese, 1783-1865)",17314
15442,"Baillon, Etienne",Etienne Baillon,https://art.thewalters.org/browse/creator/etienne-baillon,male,," (French, born 1678)",24882
5629,Bairin,Bairin,https://art.thewalters.org/browse/creator/bairin,male,," (Japanese, active 1894-1895)",36046
4986,"Baker, George Augustus",George Augustus Baker,https://art.thewalters.org/browse/creator/george-augustus-baker,male,," (American, 1821-1880)",27424|14639|7546|7403|8736|3182|11448
